Null,Null,Home,Away,Null,Null,Null,Null,Null,xSpread,xTotal,Spread,Total,Spread Edge,Total Edge,Null,Null,Null,Null,Spread Bet,Total Bet
3,11:00 AM,VMI,Bowling Green,1.003,1.1705,72.2,72.4,84.5,12.1,156.9,11.5,148.5,0.6,8.4,,,-0.6,8.4,Bowling Green 11.5,Over 148.5
4,11:00 AM,Troy,Saint Francis,1.1865,0.9215,71.4,84.7,65.8,-18.9,150.5,-22.5,151.5,3.6,1.0,,,-3.6,-1.0,Saint Francis 22.5,Under 151.5
6,12:00 PM,UC San Diego,Towson,1.0435,1.035,65.5,68.3,67.8,-0.6,136.1,0.0,138.5,0.9,2.4,,,-0.9,-2.4,UCSD 0,Under 138.5
7,12:00 PM,Western Kentucky,Vanderbilt,1.0085,1.197,74.9,75.5,89.7,14.1,165.2,18.5,169.5,4.4,4.3,,,4.4,-4.3,Western Kentucky 18.5,Under 169.5
9,1:00 PM,Syracuse,Iowa St.,0.9875,1.148,70.6,69.7,81.0,11.3,150.8,10.5,145.5,0.8,5.3,,,-0.8,5.3,Iowa St. 10.5,Over 145.5
11,1:30 PM,Toledo,Belmont,1.025,1.1505,73.0,74.8,84.0,9.2,158.8,4.5,162.5,4.7,3.7,,,-4.7,-3.7,Belmont 4.5,Under 162.5
12,1:30 PM,Buffalo,Bucknell,1.114,1.0375,69.1,77.0,71.7,-5.3,148.7,-5.0,145.5,0.3,3.2,,,0.3,3.2,Buffalo 5,Over 145.5
17,2:00 PM,San Jose St.,Loyola Chicago,1.129,1.1205,64.1,72.4,71.8,-0.5,144.2,-1.5,138.5,1.0,5.7,,,-1.0,5.7,Loyola Chicago 1.5,Over 138.5
18,2:00 PM,UNC Greensboro,Miami OH,1.0315,1.184,71.0,73.2,84.1,10.8,157.3,10.5,150.5,0.3,6.8,,,-0.3,6.8,Miami OH 10.5,Over 150.5
20,2:30 PM,USC,Arizona St.,1.1385,1.0435,74.7,85.0,77.9,-7.1,163.0,-5.5,165.5,1.6,2.5,,,1.6,-2.5,USC 5.5,Under 165.5
21,2:30 PM,Liberty,Bradley,1.163,1.083,67.0,77.9,72.6,-5.4,150.5,-5.5,148.5,0.1,2.0,,,-0.1,2.0,Bradley 5.5,Over 148.5
22,2:30 PM,VCU,South Florida,1.0925,1.1075,77.7,84.9,86.1,1.2,170.9,-1.5,172.5,2.7,1.6,,,-2.7,-1.6,South Florida 1.5,Under 172.5
23,3:00 PM,New Mexico St.,Georgia St.,1.161,0.918,67.1,77.9,61.6,-16.3,139.5,-12.5,135.5,3.8,4.0,,,3.8,4.0,New Mexico St. 12.5,Over 135.5
24,3:00 PM,North Dakota St.,Jacksonville St.,1.0595,1.045,68.6,72.7,71.7,-1.0,144.4,-3.5,144.5,2.5,0.1,,,-2.5,-0.1,Jacksonville St. 3.5,Under 144.5
26,3:30 PM,Notre Dame,Houston,0.9585,1.1575,63.3,60.7,73.3,12.6,133.9,11.5,132.5,1.1,1.4,,,-1.1,1.4,Houston 11.5,Over 132.5
28,4:00 PM,Navy,Gardner Webb,1.1425,0.948,74.0,84.5,70.2,-14.4,154.7,-12.0,156.0,2.4,1.3,,,2.4,-1.3,Navy 12,Under 156
30,4:30 PM,Tulsa,Northern Iowa,1.04,1.0855,64.1,66.7,69.6,2.9,136.2,2.5,136.5,0.4,0.3,,,-0.4,-0.3,Northern Iowa 2.5,Under 136.5
31,4:30 PM,Rice,Oral Roberts,1.0935,1.0665,71.6,78.3,76.4,-1.9,154.7,-5.5,152.5,3.6,2.2,,,-3.6,2.2,Oral Roberts 5.5,Over 152.5
32,5:00 PM,Virginia Tech,Colorado St.,1.207,1.1185,67.2,81.1,75.2,-5.9,156.3,-5.0,154.5,0.9,1.8,,,0.9,1.8,Virginia Tech 5,Over 154.5
34,5:00 PM,Vermont,Princeton,1.1265,1.052,68.1,76.7,71.6,-5.1,148.4,-5.5,141.5,0.4,6.9,,,-0.4,6.9,Princeton 5.5,Over 141.5
35,5:30 PM,Washington St.,Seton Hall,1.0175,1.1845,66.9,68.1,79.2,11.2,147.3,9.5,150.5,1.7,3.2,,,-1.7,-3.2,Seton Hall 9.5,Under 150.5
37,6:00 PM,Utah Valley,Samford,1.155,1.0565,68.8,79.5,72.7,-6.8,152.2,-6.5,149.5,0.3,2.7,,,0.3,2.7,Utah Valley 6.5,Over 149.5
41,7:00 PM,Kennesaw St.,Florida Gulf Coast,1.121,1.127,74.7,83.7,84.2,0.4,167.9,3.5,159.5,3.1,8.4,,,3.1,8.4,Kennesaw St. 3.5,Over 159.5
42,7:00 PM,Pepperdine,Fresno St.,1.0635,1.093,71.3,75.8,77.9,2.1,153.8,2.5,149.0,0.4,4.8,,,0.4,4.8,Pepperdine 2.5,Over 149
44,7:00 PM,Tennessee,Kansas,1.0745,1.0325,67.6,72.6,69.8,-2.8,142.4,-5.5,139.5,2.7,2.9,,,-2.7,2.9,Kansas 5.5,Over 139.5
48,7:30 PM,Temple,Rhode Island,1.088,1.1485,68.1,74.1,78.2,4.1,152.3,2.5,152.5,1.6,0.2,,,-1.6,-0.2,Rhode Island 2.5,Under 152.5
49,7:30 PM,Wichita St.,Saint Mary's,1.01,1.092,65.3,66.0,71.3,5.4,137.3,10.5,138.5,5.1,1.2,,,5.1,-1.2,Wichita St. 10.5,Under 138.5
50,8:00 PM,St. John's,Auburn,1.18,1.077,74.1,87.4,79.8,-7.6,167.2,-5.5,166.5,2.1,0.7,,,2.1,0.7,St. John's 5.5,Over 166.5
52,8:00 PM,Southeast Missouri,Northern Arizona,1.0245,1.0065,72.4,74.2,72.9,-1.3,147.0,2.5,153.5,3.8,6.5,,,3.8,-6.5,Southeast Missouri 2.5,Under 153.5
54,8:30 PM,UC Irvine,South Dakota St.,1.007,0.99,71.8,72.3,71.1,-1.2,143.4,-2.5,142.5,1.3,0.9,,,-1.3,0.9,South Dakota St. 2.5,Over 142.5
58,9:30 PM,Michigan,Gonzaga,1.0395,1.1045,75.3,78.3,83.2,4.9,161.4,2.0,163.5,2.9,2.1,,,-2.9,-2.1,Gonzaga 2,Under 163.5
59,9:30 PM,Iowa,Grand Canyon,1.165,1.0425,66.8,77.8,69.6,-8.2,147.5,-8.5,144.5,0.3,3.0,,,-0.3,3.0,Grand Canyon 8.5,Over 144.5
60,9:30 PM,Texas,N.C. State,1.0955,1.122,71.8,78.7,80.6,1.9,159.2,3.5,160.5,1.6,1.3,,,1.6,-1.3,Texas 3.5,Under 160.5
62,10:30 PM,San Diego St.,Baylor,1.1055,1.1555,70.0,77.4,80.9,3.5,158.3,2.5,150.5,1.0,7.8,,,-1.0,7.8,Baylor 2.5,Over 150.5
1,12:00 AM,Maryland,Alabama,1.0385,1.189,74.7,77.6,88.8,11.2,166.4,12.5,165.5,1.3,0.9,,,1.3,0.9,Maryland 12.5,Over 165.5
2,12:00 AM,Utah,Mississippi,1.021,1.1755,68.7,70.1,80.8,10.6,150.9,11.5,145.5,0.9,5.4,,,0.9,5.4,Utah 11.5,Over 145.5
